X,Y,ele
431733.308042612,4504339.75449305,884.34
431713.904895741,4504338.7511347,883.89
431694.053116819,4504336.71909676,884.85
431673.880780444,4504333.72232533,885.33
431653.855088899,4504329.72861373,884.93
431634.219496282,4504325.02416832,884.63
431614.919988675,4504319.89794353,884.58
431595.745709598,4504314.52869188,884.95
431576.824836196,4504308.98965549,885.11
431558.087483557,4504303.38384305,884.64
431539.392939699,4504297.81489473,884.67
431520.968193731,4504292.31795128,885.11
431503.040930703,4504287.00256899,884.15
431485.547226208,4504281.85072807,882.26
431468.084491302,4504276.98709125,881.53
431450.709814899,4504272.45766865,881.02
431433.134704927,4504268.46983439,880.98
431415.097439878,4504265.06323035,881.32
431396.69762244,4504262.28346603,882.37
431377.886437362,4504260.21473362,882.32
431358.664586144,4504258.93147626,882.19
431339.046494955,4504258.46148405,882.41
431319.223488477,4504258.81228268,883.39
431299.253530411,4504260.12292749,883.16
431278.972695786,4504262.28326721,882.72
431258.707901892,4504265.41125096,882.75
431238.571635114,4504269.41278473,881.7
431218.448674996,4504274.08422382,881.64
431198.336363076,4504279.13713236,881.56
431178.267943595,4504284.33855989,881.22
431158.289819419,4504289.34380827,880.93
431138.458473206,4504294.13372469,880.41
431118.444386058,4504298.31125641,880.06
431098.103747902,4504301.64509674,879.85
431077.408124701,4504304.12622018,879.89
431056.392067927,4504305.66124512,879.51
431035.119834811,4504306.30541775,878.39
431013.732191774,4504305.96437982,878.2
430992.121349324,4504304.47164588,878.57
430970.40881678,4504301.94703872,877.97
430948.771489942,4504298.37031915,876.86
430927.272656763,4504293.69436027,876.32
430906.019951983,4504288.06705223,876.18
430884.902279674,4504281.73135015,875.98
430863.901249668,4504274.99451308,874.71
430843.018686831,4504268.05190899,874.18
430822.184793409,4504261.01585685,873.18
430801.34369163,4504253.9706265,872.47
430780.467647012,4504246.98160888,871.95
430759.485154403,4504239.97502449,870.98
430738.424277757,4504232.92271445,868.98
430717.22135582,4504225.8345653,867.73
430695.813083094,4504218.75769535,866.95
430674.211788984,4504211.49659406,865.35
430652.433040537,4504204.1999775,864.05
430630.356075447,4504196.83177421,863.26
430608.018645533,4504189.64287176,862.51
430585.650026625,4504182.91027624,861.07
430563.458221458,4504176.91120109,859.98
430541.52263509,4504171.80308727,857.78
430519.991493063,4504167.52872756,856.4
430498.743430773,4504163.98687653,856.89
430477.77984881,4504161.32642305,855.82
430457.023027171,4504159.56668766,854.97
430436.470786291,4504158.47506859,854.18
430416.051962269,4504158.01499668,852.53
430395.455599843,4504158.26385425,852.75
430374.191873108,4504159.10524019,854.05
430352.510243119,4504160.70432007,854.86
430330.707497484,4504162.98388895,854.93
430308.786365818,4504166.23236146,854.43
430286.767734319,4504170.41233057,855.14
430264.933712813,4504175.39088326,856.44
430243.602505433,4504181.10918855,856.45
430222.873637759,4504187.6035193,855.46
430202.652052519,4504194.55841574,854.88
430183.102498491,4504202.16771129,855.67
430164.061107115,4504210.33058595,856.55
430145.414478086,4504219.03881064,856.8
430127.352438495,4504228.14169194,857.53
430109.900966619,4504237.38776524,858.12
430092.873273016,4504246.49961511,858.27
430076.190841057,4504255.4128454,858.87
430059.938036803,4504264.06152659,859.26
430044.312565515,4504272.37864968,859.99
430029.269648488,4504280.12269744,860.33
430014.553249298,4504287.18443135,860.34
429999.724838611,4504293.63310455,860.7
429984.510225762,4504299.68532878,861.58
429968.893387421,4504305.14584876,862.43
429952.923729551,4504309.99558366,862.77
429936.530939348,4504314.29102858,863.59
429919.701299331,4504318.07886432,864.13
429902.694748977,4504321.13328877,864.83
429885.257017001,4504323.53116167,865.42
429867.22545564,4504325.30192018,866.22
429849.11098319,4504326.54312006,866.76
429831.104123568,4504327.17851477,867.49
429813.309618685,4504327.04891689,868.31
429795.479222956,4504326.11944831,868.5
429777.274090061,4504324.51429777,869.09
429758.90608996,4504322.16630906,870.08
429741.06878688,4504319.01310273,870.01
429723.571833287,4504315.14952914,869.93
429706.225481836,4504310.73555638,870.3
429689.244679387,4504306.02971184,870.46
429672.809313946,4504301.32803204,870.93
429656.841910076,4504296.67779595,870.7
429641.03845111,4504292.1376995,870.23
429625.27037772,4504287.59730094,870.57
