x,y,z
423611.8,4473974.26,753.16
423597.91,4473977.61,753
423583.01,4473983.73,752.65
423565.69,4473990.7,752.79
423549.37,4473997.51,752.97
423533.2,4474004.46,752.89
423516.75,4474012.31,752.91
423500.38,4474020.16,752.61
423483.83,4474028.12,752.02
423466.96,4474036.79,751.41
423449.88,4474045.32,750.94
423433,4474053.53,750.82
423417.1,4474061.42,750.4
423401.98,4474069.28,749.69
423386.17,4474077.4,749.01
423369.52,4474085.34,748.37
423353.03,4474093.34,747.52
423335.87,4474101.63,746.52
423317.68,4474109.59,745.5
423299.4,4474117.61,744.59
423280.98,4474125.57,743.67
423262.83,4474133.4,742.42
423243.6,4474140.96,741.2
423223.49,4474148.28,740.37
423203.56,4474155.65,739.39
423183.75,4474163.44,738.61
423164.15,4474171.2,737.78
423144.49,4474178.85,736.91
423124.79,4474186.93,736.22
423105.31,4474193.98,735.45
423085.84,4474201.1,734.66
423065.54,4474208.3,734.04
423045.46,4474215.87,733.45
423025.6,4474223.63,732.73
423006.39,4474232.01,731.76
422987.14,4474240.01,730.54
422967.53,4474247.46,729.54
422948.08,4474255.66,728.37
422930.19,4474264.38,727.16
422912.76,4474272.77,726.16
422896.07,4474282.69,725.21
422880.28,4474293.57,724.98
422865.22,4474304.1,725.3
422851.29,4474315.54,726.5
422839.39,4474330.43,727.35
422827.72,4474344.92,727.99
422816.94,4474359.58,728.21
422806.38,4474374.93,728.36
422795.34,4474390.88,728.75
422784.23,4474406.76,729.3
422773.09,4474422.41,729.86
422762.01,4474436.59,730.5
422749.97,4474450.55,731.09
422737.09,4474464.24,731.66
422722.83,4474477.06,732.41
422707.97,4474488.57,733.24
422692.17,4474498.87,734.23
422675.86,4474506.66,735.35
422657.98,4474510.96,736.09
422640.11,4474515.45,736.85
422621.13,4474519.32,737.8
422602.33,4474522.52,738.83
422583.57,4474525.62,739.88
422564.43,4474528.36,740.79
422545.4,4474531.13,741.58
422527.65,4474533.69,742.36
422510.31,4474535.91,743.08
422491.93,4474538.4,743.78
422473.88,4474540.93,744.34
422455.71,4474543.7,744.83
422438.72,4474546.49,745.22
422421.02,4474548.74,745.43
422404.06,4474550,745.57
422385.22,4474550.27,745.35
422368.79,4474548.85,745.26
422351.86,4474545.95,745.16
422334.82,4474541.85,745.07
422319.26,4474536.67,745.11
422301.89,4474530.22,744.72
422283.16,4474523.02,744.21
422265.92,4474515.12,744
422251.82,4474502.55,743.97
422238.41,4474485.65,744.02
422223.61,4474470.46,743.81
422209.35,4474454.51,743.39
422196.52,4474438.05,742.97
422184.11,4474421.12,742.57
422172.21,4474404.12,742.46
422160.45,4474388.13,742.37
422148.38,4474372.56,742.1
422136.7,4474357.67,742.1
422123.78,4474343.49,741.6
422110.44,4474330.57,740.88
422096.46,4474318.57,739.94
422081.63,4474307.54,738.92
422066.15,4474297.1,738.19
422049.75,4474287.28,737.84
422032.5,4474278.23,737.88
422013.92,4474269.16,738.07
421995.7,4474260.78,738.09
421977.49,4474253.73,737.89
421959.46,4474246.75,737.55
421942.14,4474240.1,737.15
421924.63,4474231.59,736.64
421907.7,4474222.28,735.99
421890.76,4474211.66,735.2
421874.03,4474200,734.38
421858.46,4474186.72,733.56
421843.49,4474173.49,732.92
421828.87,4474159.91,732.4
421814.23,4474146.21,731.97
421799.32,4474132.32,731.78
421784.45,4474117.95,731.61
421769.51,4474103.78,731.42
421754.62,4474090.07,731.35
421739.23,4474077.08,731.17
421724.14,4474064.12,730.84
421708.19,4474051.82,730.69
421692.08,4474039.76,730.61
421675.38,4474027.65,730.64
421659.06,4474016.15,730.55
421642.49,4474004.51,730.41
421625.86,4473992.74,730.24
421609.31,4473981.03,729.97
421592.79,4473969.32,729.63
421576.25,4473957.91,729.28
421559.75,4473946.31,728.92
421543.02,4473934.92,728.58
421526.15,4473924.26,728.23
421508.66,4473914.6,727.79
421490.42,4473906.08,727.55
421472.14,4473899.34,727.11
421452.48,4473894.26,725.64
421433.15,4473890.41,724.55
421413.02,4473888.36,723.29
421392.85,4473887.29,722.29
421372.66,4473887.09,721.4
421352.22,4473888.67,720.87
421332,4473890.5,720.67
421312.42,4473892.61,720.51
421292.85,4473895.2,720.21
421273.29,4473898.06,720.17
421253.9,4473900.38,720.13
421234.43,4473903.01,720.07
421214.95,4473905.81,719.98
421195.9,4473908.93,719.68
421177.39,4473912.73,719.32
421158.04,4473917.64,718.76
421139.08,4473923.53,717.77
421120.04,4473929.85,716.7
421101.17,4473936.68,715.62
421081.75,4473944.34,714.57
421062.46,4473952.04,713.63
421042.84,4473959.47,712.76
421022.4,4473967.01,712.23
421002.7,4473974.34,711.75
420983.45,4473981.54,711.24
420964.56,4473988.67,710.62
420945.68,4473996.23,709.93
420926.8,4474003.76,709.25
420907.97,4474011.17,708.61
420888.95,4474018.67,707.93
420869.52,4474026.28,707.35
420850.07,4474033.75,706.91
420831.27,4474042.27,706.42
420812.18,4474050.64,705.95
420793.48,4474059.56,705.43
420774.79,4474068.9,704.92
420756.43,4474078.83,704.36
420737.67,4474088.96,703.85
420719.24,4474098.57,703.43
420700.62,4474107.8,703.22
420682.21,4474117.03,702.96
420663.87,4474126.18,702.68
420645.69,4474135.34,702.32
420627.57,4474144.51,701.89
420609.42,4474153.63,701.44
420591.41,4474162.74,700.96
420573.2,4474171.91,700.38
420555.45,4474180.84,699.78
420537.68,4474189.85,699.14
420519.94,4474198.86,698.48
420502.43,4474207.69,697.99
420485.22,4474216.58,697.35
420468.37,4474225.88,696.53
420451.33,4474234.97,695.76
420434.76,4474243.43,694.89
420418.73,4474251.38,694.22
420402.27,4474259.03,693.59
420385.38,4474265.91,693.06
420367.97,4474271.84,692.75
420349.85,4474277.07,692.58
420331.2,4474281.84,692.47
420312.15,4474286.63,692.21
420292.8,4474291.36,691.85
420273.08,4474295.45,691.13
420252.98,4474298.11,690.23
420232.65,4474299.98,689.52
420212.32,4474301.77,688.62
420192.3,4474303.93,687.4
420172.21,4474304.95,686.38
420151.97,4474306.19,685.48
420132.72,4474307.09,684.3
420112.05,4474306.01,683.3
420090.61,4474301.67,682.46
420070.21,4474295.16,681.65
420049.87,4474288.53,680.62
420030.31,4474281.79,679.86
420011.13,4474274.88,678.85
419991.94,4474268.6,677.9
419971.11,4474262.54,677
419950.3,4474256.51,675.84
419930.32,4474250.68,674.15
419910.04,4474244.27,672.14
419889.59,4474237.62,669.88
419869.71,4474230.9,667.5
419850.62,4474225.05,665.26
419831.44,4474220.43,662.95
419812.11,4474216.2,660.83
419792.24,4474213.02,658.91
419772.4,4474210.97,657.32
419752.54,4474209.19,655.92
419732.94,4474208.38,654.49
419713.24,4474207.36,653.11
419692.57,4474206.59,651.86
419671.79,4474205.5,650.86
419651.39,4474204.04,649.95
419631.18,4474202.16,649.15
419611.37,4474200.62,648.34
419591.97,4474199.22,647.6
419572.74,4474197.78,646.91
419553.39,4474194.97,646.28
419534.42,4474192.05,645.65
419515.22,4474187.96,645.31
419495.57,4474182.96,644.96
419476.83,4474177.07,644.62
419458.06,4474169.63,644.1
419440.01,4474161.18,643.69
419423.69,4474151.58,643.26
419408.05,4474142.22,643.49
419393.6,4474132.47,644.02
419378.72,4474120.78,644.48
419364.08,4474107.78,644.61
419351.65,4474095.15,644.66
419339.83,4474081.35,644.77
419327.76,4474066.41,645.03
419316.63,4474051.25,645.3
419306.58,4474037.03,645.67
419295.54,4474022.28,645.9
419283.73,4474008.93,646.5
419270.63,4474000.02,646.86
419255.88,4473996.12,647.19
419241.29,4473991.35,647.57
419227.12,4473987.14,647.82
419212.11,4473983.93,648.01
419196.06,4473981.47,648.52
419178.7,4473979.73,649.34
419161.66,4473978.59,650.06
419144.63,4473978.13,650.72
419127.86,4473978.17,651.25
419111.54,4473978.32,652.05
419095.14,4473979.14,653.05
419078.04,4473980.76,654.08
419060.83,4473982.8,655.07
419044.33,4473984.77,655.95
419028.16,4473986.89,656.77
419011.88,4473988.86,657.43
418996.43,4473990.48,657.88
418980.69,4473991.6,657.63
418964.88,4473992.58,657.34
418948.74,4473992.88,657
418932.38,4473992.49,656.69
418916.71,4473991.46,656.6
418901.2,4473989.53,657.2
418886.62,4473986.53,658.37
418872.31,4473979.21,659.46
418856.59,4473971.41,660.65
418840.95,4473962.97,661.67
418825.44,4473954.4,662.55
