x,y,z
419063.24,4473993.57,667.35
419082.54,4473992.01,666.95
419101.02,4473990.11,666.39
419119.76,4473988.08,666.02
419138.57,4473985.94,666.04
419157.46,4473984.11,665.8
419176.11,4473982.45,665.09
419195.48,4473981.32,664.14
419214.33,4473980.09,662.87
419232.31,4473978.82,661.47
419249.33,4473978.47,660.17
419265.84,4473980,658.86
419283.06,4473982.99,657.69
419299.78,4473986.92,656.82
419314.95,4473991.56,655.75
419326.53,4474001.17,654.42
419338.13,4474011.69,653.57
419347.88,4474023.22,652.58
419357.33,4474035.76,651.61
419367.41,4474049.25,651.11
419377.88,4474063.33,650.71
419387.72,4474076.82,650.42
419396.69,4474090.08,649.89
419405.15,4474103.03,649.11
419415.17,4474115.05,648.48
419425.99,4474126.09,647.69
419437.53,4474136.75,646.94
419450.2,4474147.34,646.11
419463.05,4474156.74,645.36
419475.97,4474165.74,644.76
419489.12,4474173.56,644.09
419502.74,4474180.49,643.21
419517.27,4474186.39,642.06
419531.55,4474191.41,640.99
419545.99,4474195.58,640.18
419561.39,4474198.88,639.38
419578.4,4474201.83,638.68
419596.24,4474204.12,638.33
419613.52,4474205.28,638.51
419631.01,4474205.9,638.95
419648.71,4474206.71,639.36
419667.14,4474207.47,639.82
419685.23,4474208.25,640.28
419703.35,4474209.22,640.83
419721.34,4474210.53,641.19
419739.16,4474212.15,641.3
419757.08,4474213.81,641.38
419774.79,4474215.18,641.49
419792.28,4474216.4,641.75
419809.35,4474217.38,642.22
419826.46,4474218.45,642.55
419842.21,4474219.46,642.85
419856.83,4474221.03,642.95
419871.73,4474223.59,643.12
419886.96,4474227.34,643.61
419904.07,4474231.71,644.28
419921.51,4474236.66,645.47
419939.26,4474241.76,646.98
419957.13,4474246.95,648.68
419974.79,4474252.14,650.61
419992.02,4474257.35,652.64
420009.06,4474262.91,654.64
420025.83,4474268.48,656.33
420042.34,4474273.89,657.96
420058.52,4474279.07,659.42
420074.4,4474283.5,660.74
420091.8,4474287.54,662.44
420109.88,4474291.06,664.15
420128.11,4474293.92,665.67
420146.78,4474296.17,667.17
420163.62,4474297.28,668.34
420180.18,4474297.45,669.04
420198.24,4474297.12,669.98
420216.49,4474295.74,670.63
420234.65,4474293.58,671.2
420252.51,4474290.87,671.37
420271.29,4474287.57,671.23
420290.31,4474283.78,671.65
420309.56,4474279.94,672.89
420328.17,4474275.78,674.54
420346.47,4474271.63,676.71
420364.15,4474267.78,678.61
420379.72,4474264.51,680.37
420395.78,4474260.91,681.75
420411.75,4474256.93,682.44
420427.44,4474251.95,683.18
420443.05,4474245.78,683.93
420457.66,4474238.89,684.89
420471.99,4474231.37,685.52
420487.63,4474222.96,686.11
420502.03,4474214.32,686.54
420517.87,4474205.41,687.04
420533.21,4474196.12,687.8
420549.21,4474186.66,688.48
420565.4,4474177.45,689.15
420581.94,4474168.25,689.83
420598.31,4474159.22,690.77
420614.39,4474150.41,691.9
420630.46,4474141.68,692.99
420646.83,4474132.73,694
420663.16,4474123.73,694.9
420679.75,4474114.63,695.99
420696.57,4474105.6,696.93
420713.84,4474096.29,697.74
420731.06,4474087.07,698.38
420748.51,4474077.78,698.85
420766.08,4474068.51,699.3
420783.66,4474058.92,699.71
420800.34,4474049.94,700.48
420817.05,4474041.38,701.7
420834.45,4474032.26,702.86
420851.97,4474023.01,703.81
420869.45,4474013.95,704.65
420886.97,4474005.57,705.29
420904.54,4473997.66,705.82
420922.15,4473989.76,706.25
420940.19,4473982.46,706.97
420957.79,4473975.41,707.86
420976.35,4473968.31,708.47
420994.8,4473961.4,709.44
421013.01,4473955.18,710.7
421031.52,4473948.88,712.14
421050.81,4473942.22,713.54
421069.71,4473935.78,714.93
421088.77,4473929.89,716.41
421107.63,4473924.33,717.87
421126.53,4473918.6,718.84
421145.79,4473913.26,719.55
421164.83,4473908.91,720.31
421183.78,4473905.19,721.05
421203.39,4473901.16,721.46
421222.66,4473897.8,721.37
421242.69,4473894.87,721.27
421263.05,4473892.21,721.4
421281.69,4473891.62,721.42
421300.29,4473890.97,721.21
421319.13,4473890.03,721.11
421337.16,4473889.2,720.9
421355.51,4473888.1,720.58
421373.27,4473887.09,720.45
