X,Y,Z
479072.669,4435088.613,589.012
479071.862,4435088.401,588.992
479071.065,4435088.213,588.996
479070.261,4435088.015,588.996
479069.453,4435087.824,588.989
479068.645,4435087.632,588.986
479067.837,4435087.437,588.994
479067.025,4435087.241,588.982
479066.212,4435087.042,588.981
479065.391,4435086.855,589
479064.588,4435086.649,588.975
479063.76,4435086.45,588.989
479062.943,4435086.245,588.986
479062.125,4435086.043,588.984
479061.31,4435085.837,588.97
479060.491,4435085.635,588.966
479059.659,4435085.432,588.982
479058.813,4435085.231,589.009
479058.005,4435085.008,588.952
479057.172,4435084.811,588.955
479056.339,4435084.605,588.942
479055.495,4435084.397,588.953
479054.662,4435084.187,588.952
479053.823,4435083.985,588.919
479052.979,4435083.775,588.94
479052.138,4435083.569,588.911
479051.283,4435083.35,588.945
479050.445,4435083.135,588.919
479049.592,4435082.924,588.913
479048.735,4435082.709,588.914
479047.887,4435082.5,588.911
479047.031,4435082.286,588.905
479046.169,4435082.071,588.904
479045.301,4435081.858,588.89
479044.428,4435081.636,588.881
479043.562,4435081.424,588.863
479042.694,4435081.21,588.854
479041.823,4435080.993,588.836
479040.941,4435080.786,588.827
479040.056,4435080.578,588.806
479039.164,4435080.378,588.79
479038.284,4435080.163,588.765
479037.402,4435079.97,588.757
479036.525,4435079.769,588.746
479035.649,4435079.554,588.747
479034.764,4435079.342,588.758
479033.879,4435079.129,588.761
479032.984,4435078.917,588.763
479032.093,4435078.711,588.785
479031.194,4435078.505,588.77
479030.297,4435078.299,588.762
479029.392,4435078.085,588.768
479028.493,4435077.892,588.732
479027.615,4435077.655,588.789
479026.72,4435077.46,588.738
479025.827,4435077.253,588.725
479024.93,4435077.025,588.745
479024.017,4435076.818,588.728
479023.121,4435076.598,588.733
479022.212,4435076.394,588.72
479021.321,4435076.2,588.725
479020.418,4435075.997,588.726
479019.517,4435075.795,588.72
479018.587,4435075.565,588.749
479017.701,4435075.365,588.721
479016.779,4435075.147,588.697
479015.868,4435074.926,588.706
479014.946,4435074.69,588.7
479014.028,4435074.452,588.751
479013.123,4435074.263,588.697
479012.192,4435074.01,588.751
479011.252,4435073.821,588.665
479010.333,4435073.567,588.728
479009.407,4435073.346,588.704
479008.48,4435073.133,588.682
479007.537,4435072.936,588.589
479006.601,4435072.706,588.602
479005.668,4435072.506,588.565
479004.752,4435072.297,588.55
479003.835,4435072.065,588.561
479002.913,4435071.794,588.632
479001.984,4435071.576,588.619
479001.057,4435071.346,588.617
479000.139,4435071.116,588.602
478999.239,4435070.889,588.603
478998.351,4435070.679,588.565
478997.442,4435070.462,588.535
478996.546,4435070.235,588.527
478995.657,4435069.994,588.525
478994.767,4435069.763,588.537
478993.863,4435069.533,588.514
478992.983,4435069.309,588.52
478992.102,4435069.099,588.494
478991.235,4435068.882,588.488
478990.36,4435068.672,588.468
478989.483,4435068.431,588.474
478988.604,4435068.209,588.464
478987.731,4435067.984,588.461
478986.854,4435067.75,588.475
478985.964,4435067.522,588.471
478985.066,4435067.296,588.459
478984.187,4435067.071,588.453
478983.313,4435066.857,588.452
478982.426,4435066.641,588.443
478981.541,4435066.42,588.448
478980.653,4435066.205,588.461
478979.764,4435065.997,588.467
478978.866,4435065.781,588.478
478977.965,4435065.571,588.492
478977.061,4435065.359,588.495
478976.155,4435065.155,588.498
478975.252,4435064.948,588.498
478974.349,4435064.74,588.492
478973.453,4435064.538,588.493
478972.554,4435064.331,588.488
478971.652,4435064.117,588.492
478970.748,4435063.897,588.488
478969.837,4435063.683,588.487
478968.922,4435063.475,588.478
478968.013,4435063.262,588.477
478967.111,4435063.057,588.476
478966.216,4435062.847,588.47
478965.313,4435062.64,588.477
478964.4,4435062.423,588.476
478963.481,4435062.211,588.463
478962.571,4435062.001,588.454
478961.668,4435061.796,588.441
478960.776,4435061.592,588.431
478959.872,4435061.387,588.424
478958.96,4435061.174,588.431
478958.045,4435060.961,588.419
478957.138,4435060.753,588.404
478956.236,4435060.55,588.388
478955.331,4435060.346,588.383
478954.421,4435060.137,588.381
478953.522,4435059.92,588.369
478952.633,4435059.703,588.364
478951.735,4435059.487,588.358
478950.827,4435059.266,588.353
478949.922,4435059.037,588.345
478949.021,4435058.816,588.335
478948.127,4435058.599,588.324
478947.232,4435058.381,588.319
478946.329,4435058.163,588.31
478945.423,4435057.941,588.3
478944.519,4435057.713,588.292
478943.625,4435057.487,588.278
478942.731,4435057.266,588.269
478941.827,4435057.053,588.229
478940.921,4435056.821,588.229
478940.02,4435056.588,588.22
478939.125,4435056.355,588.215
478938.23,4435056.128,588.209
478937.331,4435055.901,588.206
478936.429,4435055.672,588.213
478935.522,4435055.445,588.212
478934.624,4435055.218,588.213
478933.719,4435054.993,588.21
478932.814,4435054.769,588.21
478931.905,4435054.545,588.213
478931.005,4435054.306,588.203
478930.102,4435054.068,588.209
478929.196,4435053.845,588.208
478928.279,4435053.615,588.201
478927.368,4435053.377,588.201
