x,y,z
445595,4521467.43,1045.72
445586.23,4521472.92,1045.99
445576.79,4521477.65,1046.04
445566.74,4521481.69,1046.09
445556.35,4521485.75,1046.35
445545.45,4521489.38,1046.54
445534.33,4521493.26,1046.75
445523.21,4521496.97,1047
445512.02,4521500.71,1047.2
445500.56,4521504.62,1047.56
445489.01,4521508.46,1047.84
445477.42,4521512.29,1048.06
445466.02,4521515.89,1048.47
445454.63,4521519.46,1048.9
445443.14,4521523.08,1049.33
445431.4,4521526.6,1049.65
445419.76,4521529.97,1049.82
445407.98,4521533.45,1049.99
445396.03,4521537.08,1050.13
445383.96,4521540.86,1050.48
445372.08,4521544.66,1050.9
445360.21,4521548.57,1051.29
445348.39,4521552.5,1051.52
445336.67,4521556.3,1051.6
445324.97,4521560.25,1051.56
445313.31,4521564.22,1051.56
445301.99,4521568.09,1051.53
445290.72,4521571.97,1051.6
445279.53,4521575.87,1051.75
445268.36,4521579.79,1051.92
445256.89,4521583.85,1052.14
445245.43,4521588.18,1052.37
445234.02,4521592.53,1052.58
445222.56,4521596.81,1052.67
445211.09,4521601.06,1052.67
445199.45,4521605.38,1052.67
445187.73,4521609.73,1052.72
445176.07,4521614.07,1052.79
445164.42,4521618.39,1052.84
445152.94,4521622.61,1052.95
445141.55,4521626.78,1053.09
445130.52,4521630.79,1053.27
445119.47,4521634.88,1053.39
445108.96,4521638.72,1053.59
445098.97,4521642.77,1053.82
445089.31,4521646.8,1053.81
445079.82,4521651.1,1053.7
445070.49,4521656.3,1053.51
445061.04,4521661.85,1053.59
445052.93,4521669.45,1053.69
445045.59,4521677.43,1053.81
445039.56,4521687.19,1054
445034.19,4521697.02,1054.28
445029.56,4521706.54,1054.51
445024.86,4521716.23,1054.53
445019.99,4521726.05,1054.43
445014.95,4521735.97,1054.31
445009.88,4521745.98,1054.19
445004.7,4521756.04,1054.18
444999.62,4521766.36,1054.19
444994.57,4521776.52,1054.31
444989.47,4521786.51,1054.4
444984.35,4521796.37,1054.49
444979.2,4521806.24,1054.56
444973.96,4521816.27,1054.7
444968.54,4521826.57,1054.89
444962.95,4521836.59,1054.92
444957.32,4521846.58,1054.93
444951.34,4521856.2,1055.34
444945.07,4521865.37,1055.7
444938.1,4521873.94,1055.91
444930.69,4521882.27,1056
444923.29,4521890.62,1056.06
444915.44,4521899.07,1056.04
444907.77,4521907.35,1056.18
444900.21,4521915.53,1056.45
444892.58,4521923.78,1056.91
444884.99,4521931.99,1057.45
444877.31,4521940.27,1058.07
444869.43,4521948.59,1058.81
444861.69,4521956.77,1059.69
444853.75,4521964.8,1060.63
444845.87,4521972.85,1061.33
444838.42,4521980.75,1062.01
444832,4521989.04,1062.52
444826.32,4522006.41,1063.14
444828.66,4522026.01,1063.1
444831.76,4522036,1062.65
444835.89,4522045.62,1062.41
444840.84,4522055.03,1062.55
444845.92,4522064.12,1062.9
444850.65,4522073.44,1063.28
444854.88,4522083.33,1063.45
444858.5,4522093.89,1063.59
444861.67,4522104.58,1063.62
444864.1,4522117.16,1063.56
444866.34,4522130.41,1063.41
444868.55,4522143.81,1063.28
444870.79,4522156.79,1063.33
444872.84,4522170.61,1063.54
444874.82,4522184.01,1063.73
444877.03,4522196.39,1063.77
444879.06,4522207.67,1063.92
444881.16,4522218.74,1063.98
444883.19,4522229.68,1063.88
444885.22,4522240.81,1063.62
444887.27,4522251.74,1063.31
444889.25,4522262.8,1063.2
444891.26,4522273.91,1063.18
444893.66,4522284.92,1063.04
444896.93,4522295.68,1062.87
444900.68,4522306.33,1062.75
444904.84,4522317.08,1062.84
444909.26,4522327.34,1063.02
444915.01,4522337.39,1063.01
444921.03,4522346.45,1062.72
444931.51,4522364.13,1061.66
444936.06,4522374.31,1061.32
444938.37,4522384.68,1061.11
444939.2,4522395.41,1060.85
444938.94,4522406.1,1060.86
444938.23,4522416.54,1061.13
444937.15,4522427.02,1061.57
444936,4522438.12,1062.16
444934.41,4522449.74,1062.52
444932.66,4522461.79,1062.5
444930.71,4522473.92,1062.23
444928.35,4522485.92,1062.06
444924.65,4522497.7,1061.93
444919.34,4522509.4,1061.71
444912.95,4522520.33,1061.39
444907.04,4522531.02,1061.13
444901.33,4522541.42,1060.95
444895.05,4522551.91,1060.96
444888.54,4522562.53,1061.1
444881.67,4522573.28,1061.2
444874.7,4522583.83,1061.26
444867.99,4522594.3,1061.27
444861.25,4522604.86,1061.29
444854.56,4522615.33,1061.35
444847.86,4522625.79,1061.31
444841.08,4522636.37,1061.16
444834.58,4522646.78,1060.98
444827.99,4522657.55,1060.81
444821.46,4522668.32,1060.64
444814.89,4522679.12,1060.46
444808.44,4522689.72,1060.33
444802.17,4522700.39,1060.23
444795.93,4522710.94,1060.22
444789.8,4522721.68,1060.25
444783.68,4522732.26,1060.25
444778.42,4522741.69,1060.35
444773.46,4522751.37,1060.5
444769.22,4522761.68,1060.63
444765.41,4522772.33,1060.67
444762.69,4522783.49,1060.57
444760.02,4522794.75,1060.54
444757.23,4522806.19,1060.5
444754.37,4522817.67,1060.44
444751.7,4522829.61,1060.43
444748.96,4522841.54,1060.47
444746.04,4522853.75,1060.41
444743.2,4522865.64,1060.33
444740.47,4522877.57,1060.33
444738.11,4522888.84,1060.21
444734.63,4522899.56,1060.37
444729.76,4522909.11,1060.39
444723.59,4522917.66,1060.23
444716.14,4522924.43,1060.07
444706.71,4522929.08,1059.96
444695.33,4522932.48,1059.65
444683.78,4522935.8,1059.41
444672.08,4522938.98,1059.36
444659.79,4522941.24,1059.69
444647.01,4522943.21,1059.99
444634.88,4522944.9,1060.25
444623.29,4522946.45,1060.45
444612.24,4522948.76,1060.67
444602.19,4522952.59,1061.14
444593.51,4522957.57,1061.47
444585.75,4522963.99,1061.73
444578.1,4522971.45,1062.28
444570.96,4522979.61,1063.01
444564.24,4522987.93,1063.7
444557.59,4522996.35,1064.32
444551.04,4523004.69,1065.03
444544.18,4523013.2,1065.86
444537.8,4523021.96,1066.62
444531.71,4523031.16,1067.32
444526.91,4523040.77,1067.75
444522.96,4523050.9,1068.13
444520.21,4523061.71,1068.45
444518.48,4523072.81,1068.49
444516.97,4523083.78,1068.74
444515.27,4523095.39,1068.96
444513.5,4523107.12,1069.19
444511.59,4523118.35,1069.34
444509.34,4523129.54,1069.48
444506.55,4523140.73,1069.75
444502.94,4523151.99,1070.06
444498.7,4523163.16,1070.43
444493.92,4523173.86,1070.86
444489.02,4523184.58,1071.36
444483.64,4523195.09,1071.89
444478.24,4523205.79,1072.44
444472.89,4523216.29,1072.98
444467.73,4523226.56,1073.55
444462.83,4523236.4,1074.05
444458.16,4523246.28,1074.39
444453.74,4523256.52,1074.61
444449.4,4523266.82,1074.77
444445.25,4523277.86,1074.97
444441.12,4523289.01,1075.18
444437.28,4523300.37,1075.38
