S,UTM Z
4677.20,788
4688.02,788
4698.02,786
4707.24,786
4717.24,785
4727.87,784
4737.77,784
4746.99,782
4757.62,782
4767.52,782
4777.42,782
4786.63,780
4797.27,780
4807.16,780
4817.06,779
4827.69,779
4836.91,778
4846.81,778
4856.71,778
4867.34,778
4877.24,778
4886.46,778
4897.09,778
4906.99,778
4916.89,778
4926.79,778
4937.42,778
4946.64,778
4956.54,778
4967.17,778
4977.07,778
4986.29,778
4996.92,778
5006.82,779
5016.72,779
5026.62,779
5036.52,778
5047.15,778
5056.37,778
5067.00,778
5076.22,778
5086.12,778
5096.75,778
5106.65,778
5116.54,778
5125.76,778
5136.39,777
5146.29,777
5156.19,777
5166.19,777
5176.09,777
5185.99,776
5195.89,776
5206.52,776
5215.74,776
5225.64,776
5236.27,776
5246.17,776
5256.07,776
5265.97,776
5275.97,776
5285.87,776
5295.77,776
5306.40,775
5315.62,775
5325.52,775
5335.42,775
5346.05,775
5355.27,775
5365.17,775
5375.80,775
5385.70,775
5395.60,775
5405.50,775
5415.39,775
5426.03,775
5435.24,775
5445.24,775
5455.87,775
5465.87,776
5475.09,776
5485.09,776
5495.09,776
5505.09,776
5515.09,777
5525.09,777
5535.39,777
5545.39,778
5555.39,778
5565.29,778
5575.29,779
5585.29,779
5595.19,779
5605.09,779
5615.09,779
5624.99,780
5635.62,780
5645.05,780
5655.05,780
5665.05,780
5675.05,781
5684.90,781
5695.20,781
5705.49,781
5715.34,781
5725.19,781
5734.68,781
5745.12,781
5754.97,781
5764.81,781
5774.30,781
5784.74,782
5794.59,782
5805.03,782
5814.52,782
5824.37,782
5834.81,782
5844.66,782
5854.14,782
5864.91,782
5874.76,782
5884.61,782
5894.91,782
5904.76,782
5915.05,782
5924.48,783
5934.33,783
5944.63,783
5954.06,783
5964.06,783
5974.36,783
5984.36,783
5994.36,784
6004.65,784
6014.65,784
6024.09,784
6034.09,784
6044.09,785
6054.09,786
6064.09,786
6074.38,786
6084.38,786
6094.38,787
6104.38,787
6114.38,787
6123.82,788
6134.63,788
6144.07,788
6154.07,789
6164.70,789
6174.13,790
6184.13,790
6193.57,791
6203.57,791
6213.57,791
6223.57,792
6233.57,792
6244.20,792
6253.42,793
6264.05,793
6273.27,793
6283.90,793
6293.80,794
6303.70,794
6314.33,794
6324.23,794
6334.12,794
6344.02,795
6353.92,795
6363.82,795
6373.72,796
6383.62,796
6393.62,796
6403.52,797
6413.42,797
6423.42,798
6433.32,798
6443.22,798
6453.12,798
6463.75,798
6473.65,798
6483.55,798
6493.45,799
6503.35,799
6513.25,799
6523.15,799
6533.05,799
6543.05,798
6552.95,798
6562.95,798
6572.95,798
6582.95,798
6592.95,798
6602.95,799
6612.95,799
6623.24,799
6633.24,799
6642.68,799
6652.68,799
6662.97,799
6672.97,799
6682.40,799
6693.22,800
6703.22,800
6712.66,800
6722.95,800
6732.95,800
6742.39,800
6752.68,800
6762.68,801
6772.68,801
6782.98,801
6792.98,802
6802.98,802
6812.41,802
6822.71,802
6831.93,802
6841.93,803
6852.74,803
6862.74,803
6871.96,804
6882.59,804
6892.59,804
6902.59,804
6912.49,804
6922.49,805
6932.39,805
6942.39,806
6952.29,806
6962.29,806
6972.92,807
6982.14,807
6992.14,807
7002.14,808
7012.04,808
7022.67,809
7031.89,809
7042.52,809
7051.74,810
7062.37,810
7071.59,811
7082.22,811
7092.12,812
7102.12,812
7112.02,812
7121.92,812
7131.82,812
7141.72,813
7151.72,814
7162.35,814
7172.35,814
7181.78,814
7191.78,815
7201.78,816
7211.63,816
7221.92,816
7231.77,817
7241.62,817
7251.47,818
7261.91,818
7271.13,818
7281.57,819
7292.01,819
7301.23,819
7311.43,819
7321.48,820
7331.68,821
7341.73,821
7351.78,822
7361.98,822
7371.03,822
7381.08,823
7391.13,823
7401.18,824
7411.23,825
7421.43,825
7431.48,826
7441.53,826
7451.58,828
7460.80,829
7470.85,829
7480.90,830
7490.95,831
7501.00,831
7511.05,832
7521.24,833
7531.29,833
7541.49,834
7550.55,834
7560.60,835
7570.65,836
7580.70,836
7590.75,837
7600.95,838
7611.00,838
7621.05,839
7631.24,840
7640.46,840
7650.66,841
7660.86,842
7670.35,842
7680.79,843
7690.27,844
7700.12,845
7710.89,845
7720.33,846
7730.62,846
7740.06,846
7750.87,847
7760.87,847
7770.09,848
7780.09,848
7789.99,848
7799.89,848
7809.79,848
7820.42,848
7830.32,848
7840.32,848
7849.54,849
7860.17,849
