X,Y,GPS_Height,
447273.239328857103828,4518486.447382938116789,956.134
447273.333060887409374,4518486.765254677273333,956.940
447273.525990858208388,4518486.679468056187034,956.435
447273.443532820325345,4518485.934614916332066,954.708
447273.300604721240234,4518484.265461713075638,955.758
447273.75683772994671,4518481.230158500373363,956.865
447274.191558341961354,4518476.804576113820076,956.938
447274.156205427483656,4518470.391541323624551,956.755
447274.264064732647967,4518464.397271978668869,956.319
447275.151822530140635,4518458.592477690428495,955.682
447275.471827865461819,4518452.639039344154298,956.118
447275.481457972084172,4518447.436101384460926,955.657
447275.921870752936229,4518442.219892313703895,956.056
447276.115828997164499,4518437.499713331460953,955.332
447276.094456693099346,4518433.077996795065701,955.697
447276.767562070279382,4518429.360259333625436,955.696
447276.774715631443541,4518424.756208048202097,955.431
447276.569074679107871,4518420.25663962867111,956.058
447277.149361328862142,4518414.336563844233751,955.085
447277.017428921768442,4518408.007462296634912,954.940
447276.652686311048456,4518401.435806427150965,954.166
447274.501080332032871,4518388.764196298085153,954.667
447272.438798315706663,4518383.477913103997707,954.322
447269.338719680730719,4518379.134055569767952,954.616
447265.649196006415877,4518376.22405762039125,954.193
447260.044277634762693,4518375.302350464276969,953.657
447255.274043340876233,4518376.581580085679889,954.287
447250.45805830945028,4518379.77707050088793,954.555
447247.220280309789814,4518384.507336181588471,955.028
447244.799224916030653,4518389.530599154531956,955.153
447242.382786936592311,4518394.315423313528299,955.444
447240.214916807773989,4518399.028581358492374,954.655
447238.14803915435914,4518403.656802942976356,955.656
447235.597856960259378,4518409.797693877480924,955.797
447232.383952352742199,4518416.668036681599915,955.099
447229.302452683681622,4518424.58915151283145,956.313
447225.381858363049105,4518433.032570770010352,956.094
447221.835728098696563,4518441.071399393491447,956.899
447218.416899846517481,4518449.18980616517365,956.909
447215.168497804086655,4518457.266006127931178,957.693
447211.079859641031362,4518466.076899687759578,957.152
447207.456988384248689,4518474.793146402575076,958.639
447203.584740307298489,4518483.61828701198101,959.409
447199.376078470144421,4518493.195395190268755,959.428
447194.955204985453747,4518502.635623566806316,960.268
447190.800401624641381,4518512.181003527715802,961.039
447186.193653073860332,4518522.064267925918102,961.427
447181.72499090526253,4518532.143340710550547,961.608
447177.075677818385884,4518542.365775628015399,961.925
447172.313107119349297,4518553.009549950249493,962.716
447168.093854025995824,4518563.666822466999292,962.591
447163.474168765940703,4518573.599249741993845,963.086
447159.339463449432515,4518583.470659658312798,963.426
447155.254131717374548,4518593.259463919326663,964.515
447150.575044284400064,4518603.471972324885428,964.673
447145.988472155178897,4518614.016095090657473,965.687
447141.160912449879106,4518624.499791471287608,966.460
447136.957150383212138,4518635.625850543379784,966.165
447133.558522216044366,4518646.31209073215723,963.232
447127.574931684473995,4518657.124871897511184,967.992
447122.850089928368106,4518667.968303689733148,966.375
447118.279284553602338,4518678.594143191352487,968.162
447113.408748049056157,4518689.279458649456501,969.309
447108.889362176938448,4518700.110242658294737,969.747
447104.47336517093936,4518710.752998355776072,969.933
447099.888544615940191,4518721.468929324299097,970.099
447095.427666870993562,4518732.044074635952711,970.731
447091.40685120690614,4518743.051744941622019,970.934
447087.281156295037363,4518754.091962351463735,971.604
447083.512974230339751,4518765.710217981599271,971.754
447079.888489264354575,4518777.283111746422946,972.070
447076.875730780593585,4518789.242709687910974,972.567
447073.45448370242957,4518801.475897689349949,973.168
447070.40997346455697,4518814.035943746566772,973.262
447068.338604229735211,4518827.212055665440857,973.967
447066.04400791140506,4518840.160245761275291,973.970
447063.686013882455882,4518853.454758201725781,973.456
447061.654645930277184,4518867.038560537621379,973.519
447061.007294817711227,4518881.244693741202354,972.861
447059.033018393034581,4518910.248787281103432,972.082
447058.73157155723311,4518924.782738561742008,973.154
447059.858299046638422,4518939.028276856988668,972.944
447061.003564593149349,4518953.28307746257633,972.746
447062.460648463398684,4518967.624963959679008,971.804
447063.2161553176702,4518980.795876097865403,971.198
447065.053375667834189,4518994.195759247988462,971.446
447066.748409867926966,4519007.362025994807482,970.798
447068.750187461730093,4519020.16012099944055,970.022
447070.41680550086312,4519032.850518721155822,969.577
447071.590616841742303,4519045.602109835483134,968.632
447073.308758576400578,4519058.347952242940664,968.422
447074.559199347859249,4519070.882779219187796,967.611
447075.750628095876891,4519083.317371970042586,966.233
447076.06061317352578,4519095.869902059435844,966.112
447077.00181961414637,4519108.004408173263073,965.461
447077.833026142092422,4519118.465877451002598,966.528
447077.766381541499868,4519127.629536525346339,965.206
447077.834700952458661,4519135.481742220930755,964.427
447078.074545754003339,4519141.978128646500409,965.425
447077.813222315104213,4519148.230463921092451,964.379
447077.330590264580678,4519154.669778309762478,964.449
447077.339597936253995,4519161.907821714878082,963.004
447076.892347494023852,4519167.64677169919014,963.273
447077.19417083269218,4519172.716436949558556,963.174
447077.633635311271064,4519177.383922548033297,961.920
447078.170353799709119,4519182.831163697876036,961.517
447078.382345525256824,4519189.05636898893863,960.704
447077.395759225590155,4519195.634936665184796,960.976
447076.005786268389784,4519202.345789717510343,962.158
447072.69383891770849,4519210.10178438667208,962.135
447070.243698944803327,4519218.870259555056691,962.398
447067.365908123611007,4519228.706913773901761,961.540
447064.453556682856288,4519238.866151380352676,961.153
447061.32292049966054,4519249.353222174569964,960.829
447059.260703051288147,4519259.794969924725592,961.000
447056.751799740886781,4519270.227376743219793,960.599
447053.888738804263994,4519280.399502440355718,961.272
447051.172100598807447,4519290.908696187660098,960.982
447048.817462077888194,4519301.175941664725542,960.827
447046.505228659487329,4519312.000085668638349,961.643
447044.148158102005254,4519322.934233634732664,960.908
