y,x,z
4503934.233,432807.406,957.302
4503935.014,432805.525,957.262
4503935.809,432803.65,957.211
4503936.606,432801.776,957.171
4503937.411,432799.901,957.136
4503938.225,432798.027,957.106
4503939.055,432796.156,957.058
4503939.89,432794.283,957.026
4503940.739,432792.413,956.968
4503941.592,432790.546,956.937
4503942.458,432788.683,956.88
4503943.328,432786.815,956.845
4503944.201,432784.959,956.823
4503945.089,432783.088,956.792
4503945.988,432781.225,956.735
4503946.889,432779.368,956.687
4503947.805,432777.513,956.636
4503948.722,432775.658,956.589
4503949.645,432773.807,956.536
4503950.583,432771.957,956.479
4503951.529,432770.111,956.422
4503952.471,432768.268,956.36
4503953.429,432766.424,956.31
4503954.377,432764.587,956.232
4503955.35,432762.75,956.181
4503956.33,432760.913,956.127
4503957.321,432759.081,956.072
4503958.316,432757.251,956.018
4503959.347,432755.424,956.006
4503960.365,432753.6,955.95
4503961.392,432751.775,955.895
4503962.421,432749.96,955.837
4503963.456,432748.147,955.782
4503964.503,432746.334,955.734
4503965.559,432744.525,955.675
4503966.619,432742.722,955.614
4503967.685,432740.922,955.556
4503968.764,432739.119,955.492
4503969.845,432737.325,955.43
4503970.94,432735.54,955.372
4503972.039,432733.752,955.327
4503973.149,432731.967,955.27
4503974.266,432730.177,955.223
4503975.387,432728.402,955.127
4503976.517,432726.63,955.05
4503977.654,432724.859,954.979
4503978.797,432723.094,954.91
4503979.949,432721.333,954.842
4503981.11,432719.57,954.785
4503982.272,432717.814,954.708
4503983.446,432716.06,954.632
4503984.62,432714.308,954.565
4503985.807,432712.563,954.487
4503986.992,432710.826,954.416
4503988.188,432709.088,954.352
4503989.393,432707.351,954.279
4503990.597,432705.616,954.207
4503991.812,432703.89,954.126
4503993.034,432702.17,954.048
4503994.259,432700.453,953.982
4503995.495,432698.732,953.913
4503996.728,432697.022,953.841
4503997.967,432695.326,953.763
4503999.212,432693.62,953.682
4504000.466,432691.908,953.606
4504001.723,432690.208,953.527
4504002.988,432688.507,953.44
4504004.258,432686.808,953.355
4504005.533,432685.112,953.266
4504006.813,432683.416,953.178
4504008.09,432681.727,953.091
4504009.37,432680.034,953.007
4504010.651,432678.342,952.932
4504011.94,432676.651,952.838
4504013.229,432674.96,952.751
4504014.52,432673.277,952.649
4504015.813,432671.587,952.57
4504017.11,432669.904,952.473
4504018.409,432668.216,952.375
4504019.705,432666.528,952.271
4504021.002,432664.844,952.171
4504022.303,432663.164,952.069
4504023.607,432661.48,951.969
4504024.91,432659.797,951.88
4504026.211,432658.119,951.776
4504027.514,432656.438,951.677
4504028.822,432654.757,951.567
4504030.129,432653.076,951.475
4504031.436,432651.396,951.378
4504032.744,432649.715,951.275
4504034.052,432648.031,951.177
4504035.361,432646.349,951.077
4504036.669,432644.668,950.975
4504037.981,432642.989,950.862
4504039.293,432641.306,950.762
4504040.606,432639.625,950.655
4504041.921,432637.942,950.548
4504043.235,432636.261,950.438
4504044.552,432634.579,950.327
4504045.868,432632.894,950.214
4504047.183,432631.212,950.1
4504048.501,432629.532,949.981
4504049.82,432627.845,949.865
4504051.138,432626.163,949.762
4504052.453,432624.474,949.649
4504053.772,432622.787,949.536
4504240.036,432313.375,938.545
4504240.724,432311.367,938.56
4504241.411,432309.358,938.567
4504242.097,432307.353,938.572
4504243.483,432303.339,938.576
4504243.483,432303.339,938.576
4504244.179,432301.337,938.588
4504244.871,432299.326,938.599
4504245.56,432297.318,938.607
4504246.249,432295.318,938.607
4504246.945,432293.311,938.613
4504247.642,432291.303,938.623
4504248.335,432289.304,938.636
4504249.028,432287.301,938.65
4504249.721,432285.297,938.663
4504250.419,432283.297,938.67
4504251.113,432281.293,938.687
4504251.804,432279.288,938.703
4504252.487,432277.281,938.711
4504253.176,432275.278,938.72
4504253.873,432273.274,938.725
4504254.56,432271.272,938.736
4504255.248,432269.265,938.754
4504255.936,432267.262,938.757
4504256.631,432265.263,938.756
4504257.32,432263.256,938.765
4504258.005,432261.245,938.773
4504258.687,432259.241,938.79
4504259.366,432257.249,938.814
4504260.052,432255.236,938.843
4504260.743,432253.203,938.878
4504261.429,432251.185,938.897
4504262.106,432249.193,938.911
4504262.781,432247.185,938.929
4504263.465,432245.155,938.949
4504264.154,432243.131,938.972
4504264.839,432241.113,938.981
4504265.519,432239.096,938.987
4504266.199,432237.08,938.991
4504266.876,432235.049,939.017
4504267.554,432233.017,939.033
4504268.233,432230.99,939.044
4504268.907,432228.969,939.053
4504269.584,432226.939,939.068
4504270.255,432224.902,939.085
4504270.923,432222.871,939.102
4504271.59,432220.835,939.108
4504272.264,432218.8,939.117
4504272.93,432216.766,939.133
4504273.591,432214.729,939.158
4504274.248,432212.678,939.17
4504274.911,432210.637,939.178
4504275.555,432208.591,939.178
4504276.211,432206.546,939.182
4504276.865,432204.504,939.194
4504277.513,432202.448,939.218
4504278.159,432200.402,939.225
4504278.795,432198.354,939.233
4504279.431,432196.3,939.231
4504280.066,432194.233,939.241
4504280.695,432192.166,939.252
4504281.31,432190.113,939.265
4504281.917,432188.07,939.271
4504282.524,432186.015,939.282
4504283.131,432183.949,939.283
4504283.734,432181.887,939.283
4504284.325,432179.827,939.288
4504284.907,432177.764,939.295
4504285.488,432175.689,939.308
4504286.066,432173.618,939.308
4504286.64,432171.548,939.309
4504287.198,432169.48,939.309
